Gene,Provenance_tier,Status_for_selection,In_core_panel,In_missing_half,In_curated_pool,Functional_axis,Category,Objective_tags,Priority_hint,Why_relevant,Expression_note,References
Lrrtm2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Lrrtm3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Lrrtm4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Lsamp,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure.",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Luzp2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Lypd1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Lypd6,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Marcksl1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression.,HIGH — crowding risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Matn2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Mdga1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Areal patterning,Areal-gradient extras,"D,E",Med,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement.",Some developmental — verify adult expression.,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Mdga2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Areal patterning,Areal-gradient extras,"D,E",Med,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement.",Some developmental — verify adult expression.,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Medag,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Other / unclassified,,,,,,
Mef2c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Mmp2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Mmp24,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Mmp3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Mmp9,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Mt1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Myl4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ncam1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Ncam2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Ndnf,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Necab1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Necab2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nectin1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Nectin3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Nefl,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Negr1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure.",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nell1,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Other / unclassified,,,,,,
Neo1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Neurod2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Neurod6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nfasc,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Nfia,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nfib,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nfix,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nlgn1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nlgn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nlgn3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nnat,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nos1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nov,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nphs1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Nptx1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Activity-dependent,Neurotrophin / activity reporters,"C,E",Low,Report intrinsic/activity state that can shape projections; NOTE these track STATE not stable identity and can spike (induction) — use with care.,Activity-dependent / inducible — variable; interpret cautiously.,Bean 2007; cell-type intrinsic-excitability literature
Nptx2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Activity-dependent,Neurotrophin / activity reporters,"C,E",Low,Report intrinsic/activity state that can shape projections; NOTE these track STATE not stable identity and can spike (induction) — use with care. [Activity-dependent — can spike],Inducible — watch crowding,Bean 2007; cell-type intrinsic-excitability literature
Npy,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nr2f1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,D,E",High,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(COUP-TF1) primary areal gradient — persists in adult],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nr2f2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,D,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Nr4a2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nrcam,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Nrip3,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Nrn1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cytoskeleton / growth,,,,,,
Nrp1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Nrp2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Nrxn1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Moderate-high — watch crowding,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nrxn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Nrxn3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Moderate-high — watch crowding,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Ntm,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure. [(neurotrimin)]",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Ntn1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",Med,Attractive/repulsive guidance; descending & long-range projection routing. [Also Ntn1 secreted],Low-moderate,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Ntn3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Netrin-DCC-Unc5,,,,,,
Ntn4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Netrin-DCC-Unc5,,,,,,
Ntn5,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Netrin-DCC-Unc5,,,,,,
Ntng1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Netrin-DCC-Unc5,"C,D,E",Med,Attractive/repulsive guidance; descending & long-range projection routing. [Laminar synaptic specificity (+Lrrc4c)],Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Ntng2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Netrin-DCC-Unc5,"C,D,E",Med,Attractive/repulsive guidance; descending & long-range projection routing. [Laminar synaptic specificity (+Lrrc4)],Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Ntrk2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Activity-dependent,Neurotrophin / activity reporters,"C,E",Med,Report intrinsic/activity state that can shape projections; NOTE these track STATE not stable identity and can spike (induction) — use with care. [(TrkB)],Activity-dependent / inducible — variable; interpret cautiously.,Bean 2007; cell-type intrinsic-excitability literature
Ntrk3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Activity-dependent,Neurotrophin / activity reporters,"C,E",Med,Report intrinsic/activity state that can shape projections; NOTE these track STATE not stable identity and can spike (induction) — use with care. [(TrkC)],Activity-dependent / inducible — variable; interpret cautiously.,Bean 2007; cell-type intrinsic-excitability literature
Nxph1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ocln,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Opcml,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure.",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pak1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pax6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,D,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [Areal; partly adult],Partly developmental — verify adult,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Pcdh10,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8). [Striosome/areal]",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh17,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh19,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh7,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh8,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cadherin/protocadherin,,,,,,
Pcdh9,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcp4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pcp4l1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pde1a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pdyn,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Penk,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Plxna1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxnb1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxnb2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnb3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnc1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnd1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted. [Sema3e receptor]",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Pou3f2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Brn2) UL identity],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Pou3f3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Brn1) UL identity],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Ppfia1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Prdx5,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pthlh,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ptn,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ptpra,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprc,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Receptor tyr phosphatase,,,,,,
Ptprf,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprm,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprs,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptpru,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptx4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Pvalb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rab3b,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rasl10a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rbp4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Reln,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rgs4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Robo1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Robo2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Robo3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Slit-Robo,"C,E",Med,Midline/topographic axon guidance; callosal & cortico-thalamic routing. [Often low expression],Low — floor risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Rorb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Rrad,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ryk,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [Wnt guidance receptor]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Satb2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Scn1a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn1b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn2a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn3b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn8a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Sdc1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Sdc2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Sdc3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Sdc4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Sdk1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Sdk2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Sema3a,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema3b,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Semaphorin-Plexin,,,,,,
Sema3c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
